id;from;to;length;cores;medium;length margin;
18;DK-Torvalds-2;DK-Torvalds-1;65;2;cu;76;
83;N1;AP-N1-1;75;1;cu;87;
32;DK-Flowers-3;DK-Flowers-1;75;2;cu;87;
26;DK-Lamarr-3;DK-Lamarr-1;55;2;cu;65;
80;DK-Snowden-2;DK-Snowden-3;75;2;cu;87;
24;DK-Lamarr-5;DK-Lamarr-6;70;2;cu;82;
46;RadioStudio;PressDesk;20;1;cu;27;
81;DK-Snowden-3;AP-Zuse;90;1;cu;104;
82;DK-Hopper-1;AP-Engelbart;90;1;cu;104;
84;DK-Lamarr-1;AP-BackboneBlvd-1;55;1;cu;65;
52;DK-Boole;Family-2;36;1;cu;44;
85;DK-Olsen-3;AP-SouthTrunk-1;55;1;cu;65;
86;DK-Lamarr-1;AP-BackboneBlvd-2;90;1;cu;104;
87;DK-Lamarr-3;AP-Lamarr-1;60;1;cu;71;
5;DK-Liskov-2;CTF;15;2;cu;21;
4;DK-Liskov-2;Workshop-Tau;35;1;cu;43;
56;Angels-1;Angels-2;12;1;cu;18;
29;DK-Torvalds-3;Arcade;30;1;cu;38;
6;DK-Liskov-1;Workshop-Pi;25;1;cu;32;
58;DK-Orga;Infodesk;35;1;cu;43;
59;DK-Orga;FirstAid;25;1;cu;32;
60;DK-Orga;Stewards;25;1;cu;32;
65;DK-Orga;Orga;20;1;cu;27;
77;DK-Hopper-2;DK-Hopper-1;70;2;cu;82;
90;DK-Hopper-4;SilentLounge;30;1;cu;38;
11;DK-Turing-2;DK-Turing-4;60;2;cu;71;
41;Bar;AP-Tarp-1;30;1;cu;38;
64;DK-Orga;Warehouse;40;1;cu;49;
66;DK-Orga;POC;20;1;cu;27;
67;DK-Orga;Deco;35;1;cu;43;
43;Lounge;AP-Tarp-2;30;1;cu;38;
69;DK-Rhodes-2;DK-Rhodes-1;70;2;smf;82;
17;E4;DK-Torvalds-2;20;4;smf;27;
1;E0;DK-Liskov-1;30;4;smf;38;
16;E4;DK-Torvalds-3;55;2;smf;65;
2;DK-Liskov-1;Track-3-Re;30;4;smf;38;
3;Track-3-Re;DK-Liskov-2;65;2;smf;76;
7;E1;DK-Olsen-1;35;2;smf;43;
8;DK-Olsen-1;DK-Olsen-2;70;2;smf;82;
75;DK-Hopper-4;DK-Hopper-3;70;2;smf;82;
27;E0;DK-Lamarr-2;40;2;smf;49;
73;L2A;DK-Hopper-4;70;4;smf;82;
9;E2;DK-Olsen-3;35;2;smf;43;
10;DK-Olsen-3;DK-Turing-2;80;2;smf;93;
28;DK-Lamarr-2;DK-Lamarr-4;95;2;smf;109;
12;E3;DK-Turing-1;25;2;smf;32;
13;E3;DK-Turing-3;60;4;smf;71;
14;DK-Turing-3;DK-Wozniak-1;65;2;smf;76;
15;DK-Wozniak-1;DK-Wozniak-2;55;2;smf;65;
19;DK-Torvalds-2;DK-Torvalds-4;75;2;smf;87;
20;DK-Torvalds-4;DK-Torvalds-5;85;2;smf;98;
21;E5;DK-Manning-2;45;2;smf;54;
22;DK-Manning-2;DK-Manning-1;75;2;smf;87;
23;E5;DK-Lamarr-5;30;2;smf;38;
25;DK-Lamarr-5;DK-Lamarr-3;55;2;smf;65;
31;DK-Flowers-3;DK-Flowers-2;70;2;smf;82;
30;E7;DK-Flowers-3;40;2;smf;49;
34;DK-Uplink-2;DK-Uplink-1;85;8;smf;98;
33;E6;DK-Uplink-2;80;8;smf;93;
91;DK-Pier;Safeharbour;75;1;smf;87;
37;DK-Alexander-1;DK-Alexander-2;110;2;smf;126;
88;Entrance;Parking;580;1;smf;643;
40;L4;Bar;50;1;smf;60;
36;Entrance;DK-Alexander-1;210;2;smf;236;
55;Angels-1;DK-Lovelace;35;1;smf;43;
74;L2A;DK-Pier;130;3;smf;148;
53;L0;NOC;90;13;smf;104;
78;L2A;DK-Snowden-1;10;2;smf;16;
79;DK-Snowden-1;DK-Snowden-2;95;2;smf;109;
89;NOC;DK-Orga;35;2;smf;43;
76;DK-Hopper-4;DK-Hopper-2;75;2;smf;87;
68;NOC;AV;30;2;smf;38;
38;L4;Track-1-No;95;2;smf;109;
42;L3;Lounge;20;1;smf;27;
45;L5;RadioStudio;85;2;smf;98;
44;L5;Track-2-Pa;30;2;smf;38;
49;DK-Clarke;DK-Boole;140;3;smf;159;
35;DK-Uplink-1;Entrance;180;6;smf;203;
93;DK-Orga;Security;30;1;cu;38;
94;DK-Alexander-2;AP-Logistics;100;1;cu;115;
95;Entrance;AP-Entrance-2;300;1;cu;335;
96;NOC;DK-Rhodes-1;70;2;smf;82;
70;DK-Rhodes-2;DK-Wilson;75;2;cu;87;
48;L5;DK-Clarke;90;3;smf;104;
50;DK-Boole;DK-Babbage;140;2;smf;159;
51;DK-Clarke;Family-1;35;1;cu;43;
57;Angels-1;Angels-3;20;1;cu;27;
63;DK-Orga;Finance;20;1;cu;27;
97;DK-Orga;Merchandise;20;1;cu;27;
92;E0;L0;235;12;smf;263;
102;CZ_E;CZ_F;150;8;smf;170;
101;CZ_C;CZ_D;200;8;smf;225;
100;CZ_B;CZ_C;125;8;smf;142;
99;CZ_A;CZ_B;125;12;smf;142;
98;CZ_NHQ;CZ_A;150;12;smf;170;
106;CZ_B;CZ_Steiger;100;4;smf;115;
105;CZ_Mainege;CZ_Mainege;50;2;smf;60;
104;CZ_NHQ;CZ_Mainege;100;12;smf;115;
103;CZ_E;CZ_NHQ;150;8;smf;170;
